slug,courseCode,courseName,category,subcategory,courseType,duration,mode,level,overview,outcomes,eligibility,certification,fees,curriculum,featured,status,notes,completenessState,completenessPercent,missingFields
cake-bakery-course,,Cake Bakery Course,Food & Baking,Baking,Course,1 Month,,,,,,,,Eggless Cake Sponge | Vanilla Sponge | Butterscotch Sponge | Chocolate Sponge | Mango Sponge | Strawberry Sponge | Pineapple Sponge | Rasmalai Sponge | With Egg Sponge Cake | Premix Cake Sponge,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
basic-to-advance-nail-extension-course,VTDB101,Basic to Advance Nail Extension Course,Beauty & Makeup,Nail Art & Extensions,Course,2 Months,,,,,,,,Product Knowledge | Refilling | Gel Extension | Tip Application | Acrylic Extension | Remove | Poly Gel Extensions | Colour Acrylic Extension | Poly Gel | Soft Gel Extension | Chrome / Mirror | French | Transfer Foil Art | Glitter Application | Permanent Polish | Stone Application | 3D Art (Flower) | Pigment Art | Flex Art | Metallic Gel | Cat Eye | Omra Nail Art | Full Nail Glitter Art | Dry Flower Art | Isolated (Korean) Nail Art | Blooming Art | Glass Nail Art | Bridal Nail Art | Airbrush Nail Art | 5D Art | Advanced Nail Art,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
basic-to-advance-mehendi-masters-course,,Basic to Advance Mehendi Master's Course,Mehendi & Creative Arts,Mehendi Design,Course,3 Months,,,,,,,,Basic Knowledge | Basic Lines | Humps | Dots | Spiral | Filler Elements | Different Types Of Grid | Check | Borders | Type Of Flowers | Semi Bridal | Arabic Design | Rajasthani Design | Mandala Design | Pakistani Design | Dubai Style | Floral Design | Sanai | Tabla | etc. | Agnikund | Gachkouto | Mukut | Engagement Style | Simple String Design | Client Handling | Cone Making | Organic Mehendi Making,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
summer-internship-programme,SIP002,Summer Internship Programme,Digital & Business Skills,Computer & Digital Literacy / Foundation Programs,Training Program,120 Hours,,,,,,,,Fundamentals of Computers | Operating System (DOS | Windows) | MS Office (Word | Excel | PowerPoint | Access) | Internet,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
basic-internship-course,BIC001,Basic Internship Course,Digital & Business Skills,Computer & Digital Literacy / Foundation Programs,Training Program,120 Hours,,,,,,,,Microsoft Office (Word | Excel | PowerPoint) | Internet,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
advanced-diploma-in-computer-application,ADCA0002,Advanced Diploma in Computer Application,Digital & Business Skills,Computer Applications,Advanced Diploma,1 Year,,,,,,,,"Computer Fundamentals | Operating System | Windows 7 | MS Office (Word, Excel, PowerPoint, Access) | Internet & E-Mail | English Typing | Regional Typing | HTML | DHTML | C Programming | JavaScript | Tally Prime | PageMaker | Photoshop | CorelDRAW",FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
advanced-diploma-in-digital-marketing,ADDM0001,Advanced Diploma in Digital Marketing,Digital & Business Skills,Digital Marketing,Advanced Diploma,1 Year,,,,,,,,"Digital Marketing Concept | Account Management | Campaign & Ad Group Management | Key Targeting | Language & Location Targeting | Budget & Bidding | Search, Display & Video Ads | Ad Formats | AdWords Tools | Performance Monitoring & Reporting | AdWords API | Google Display Network | Introduction to SEO with HTML | Photo Editing | Facebook, Instagram, Twitter, LinkedIn Account Management",FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
it-siksha-with-ai,ITSAI005,IT Siksha with AI,AI & Technology,AI Tools & Applications,,3 Months,,,,,,,,Computer Fundamentals | MS Office (Word | Excel | PowerPoint) | Internet | AI Introduction | Chatbots | Content Writers | Code Generators | Create Images from Text Prompts | Website | Application & Game Making | AI Voice | AI Song | Sound Effect | AI Video Editing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
ai-with-digital-marketing-basic-siksha,AIDMS004,AI with Digital Marketing Basic Siksha,Digital & Business Skills,AI & Digital Marketing,,3 Months,,,,,,,,AI Introduction | Chatbots | Content Writers | Code Generators | Create Images from Text Prompts | Website | Application & Game Making | AI Voice | AI Song | Sound Effect | AI Video Editing | Digital Marketing Introduction | Social Media Marketing (Facebook | Instagram | WhatsApp | Twitter) | Email Marketing | YouTube Content Marketing | Search Engine Optimization (SEO) | Mobile Marketing | Pay-Per-Click | Affiliate Marketing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
digital-marketing-siksha,DMS003,Digital Marketing Siksha,Digital & Business Skills,Digital Marketing,,3 Months,,,,,,,,Social Media Marketing (Facebook | Instagram | WhatsApp | Twitter) | Email Marketing | YouTube Content Marketing | Search Engine Optimization (SEO) | Mobile Marketing | Pay-Per-Click | Affiliate Marketing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
